mv_TID18013_START2_SIZE1_FT_0_CLASS646,mv_TID18020_START13_SIZE1_FT_0_CLASS646,mv_TID18018_START19_SIZE1_FT_0_CLASS646,mv_TID18019_START15_SIZE2_FT_0_CLASS646,mv_TID18024_START0_SIZE1_FT_0_CLASS646,mv_TID18024_START5_SIZE2_FT_1_6_CLASS646,mv_TID18013_START3_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18024_START11_SIZE1_FT_0_CLASS646,mv_TID18024_START3_SIZE2_FT_0_CLASS646,mv_TID18018_START15_SIZE2_FT_0_1_CLASS646,mv_TID18013_START14_SIZE2_FT_0_CLASS646,mv_TID18018_START24_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18019_START19_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18013_START10_SIZE1_FT_0_CLASS646,mv_TID18011_START10_SIZE1_FT_0_1_CLASS646,mv_TID18020_START7_SIZE1_FT_0_CLASS646,mv_TID18013_START4_SIZE2_FT_0_1_CLASS646,mv_TID18015_START2_SIZE1_FT_0_CLASS646,mv_TID18020_START9_SIZE1_FT_0_CLASS646,mv_TID18016_START0_SIZE1_FT_0_CLASS646,mv_TID18018_START18_SIZE1_FT_0_CLASS646,mv_TID18011_START14_SIZE1_FT_0_CLASS646,mv_TID18019_START4_SIZE1_FT_0_CLASS646,mv_TID18013_START22_SIZE1_FT_0_CLASS646,mv_TID18013_START18_SIZE1_FT_0_1_CLASS646,mv_TID18024_START8_SIZE1_FT_0_1_CLASS646,mv_TID18013_START1_SIZE1_FT_0_CLASS646,mv_TID18018_START30_SIZE1_FT_0_1_CLASS646,mv_TID18019_START18_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18011_START0_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18011_START9_SIZE1_FT_0_CLASS646,mv_TID18013_START17_SIZE1_FT_0_CLASS646,mv_TID18018_START21_SIZE2_FT_0_CLASS646,mv_TID18011_START22_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18016_START13_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18013_START9_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18020_START0_SIZE1_FT_0_CLASS646,mv_TID18016_START12_SIZE1_FT_0_CLASS646,mv_TID18020_START16_SIZE1_FT_3_CLASS646,mv_TID18011_START13_SIZE1_FT_0_CLASS646,mv_TID18018_START17_SIZE1_FT_0_CLASS646,mv_TID18015_START11_SIZE1_FT_0_CLASS646,mv_TID18011_START6_SIZE3_FT_0_CLASS646,mv_TID18018_START23_SIZE1_FT_0_CLASS646,mv_TID18018_START20_SIZE1_FT_0_1_CLASS646,mv_TID18016_START6_SIZE1_FT_0_CLASS646,mv_TID18013_START12_SIZE1_FT_0_1_CLASS646,mv_TID18020_START15_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18019_START9_SIZE2_FT_0_1_CLASS646,mv_TID18011_START4_SIZE1_FT_0_1_CLASS646,mv_TID18020_START1_SIZE1_FT_0_CLASS646,mv_TID18019_START11_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18024_START1_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18018_START9_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18019_START12_SIZE1_FT_0_1_CLASS646,mv_TID18016_START7_SIZE2_FT_0_CLASS646,mv_TID18018_START2_SIZE1_FT_0_1_CLASS646,mv_TID18018_START3_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18019_START2_SIZE2_FT_0_1_CLASS646,mv_TID18011_START12_SIZE1_FT_0_CLASS646,mv_TID18024_START2_SIZE1_FT_0_1_CLASS646,mv_TID18024_START7_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18018_START4_SIZE1_FT_0_CLASS646,mv_TID18013_START16_SIZE1_FT_0_CLASS646,mv_TID18011_START21_SIZE1_FT_0_CLASS646,mv_TID18019_START1_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18018_START8_SIZE1_FT_0_1_CLASS646,mv_TID18018_START5_SIZE1_FT_0_CLASS646,mv_TID18011_START2_SIZE1_FT_0_1_CLASS646,mv_TID18019_START0_SIZE1_FT_0_CLASS646,mv_TID18011_START26_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18015_START9_SIZE1_FT_0_CLASS646,mv_TID18020_START8_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18011_START19_SIZE1_FT_0_1_CLASS646,mv_TID18011_START15_SIZE2_FT_0_CLASS646,mv_TID18019_START21_SIZE2_FT_0_CLASS646,mv_TID18015_START8_SIZE1_FT_0_CLASS646,mv_TID18018_START12_SIZE1_FT_0_1_CLASS646,mv_TID18011_START27_SIZE1_FT_3_CLASS646,mv_TID18020_START2_SIZE1_FT_0_CLASS646,mv_TID18013_START19_SIZE2_FT_0_1_CLASS646,mv_TID18019_START5_SIZE2_FT_0_1_CLASS646,mv_TID18011_START11_SIZE1_FT_0_CLASS646,mv_TID18016_START4_SIZE1_FT_0_CLASS646,mv_TID18013_START7_SIZE1_FT_0_CLASS646,mv_TID18018_START25_SIZE1_FT_0_1_CLASS646,mv_TID18011_START20_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18013_START6_SIZE1_FT_0_CLASS646,mv_TID18011_START5_SIZE1_FT_0_CLASS646,mv_TID18013_START13_SIZE1_FT_0_CLASS646,mv_TID18018_START14_SIZE1_FT_0_1_CLASS646,mv_TID18016_START3_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18018_START26_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18015_START7_SIZE1_FT_0_CLASS646,mv_TID18016_START9_SIZE2_FT_0_CLASS646,mv_TID18019_START7_SIZE2_FT_0_1_CLASS646,mv_TID18020_START10_SIZE1_FT_0_CLASS646,mv_TID18011_START23_SIZE3_FT_0_1_CLASS646,mv_TID18015_START6_SIZE1_FT_0_CLASS646,mv_TID18018_START10_SIZE2_FT_0_CLASS646,mv_TID18013_START0_SIZE1_FT_0_1_CLASS646,mv_TID18019_START13_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18011_START18_SIZE1_FT_0_CLASS646,mv_TID18016_START1_SIZE1_FT_0_CLASS646,mv_TID18019_START17_SIZE1_FT_0_1_CLASS646,mv_TID18018_START27_SIZE2_FT_0_CLASS646,mv_TID18011_START17_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18015_START10_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18016_START5_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18020_START11_SIZE1_FT_0_CLASS646,mv_TID18016_START15_SIZE2_FT_0_1_CLASS646,mv_TID18020_START4_SIZE3_FT_0_CLASS646,mv_TID18018_START29_SIZE1_FT_0_CLASS646,mv_TID18015_START5_SIZE1_FT_0_CLASS646,mv_TID18015_START3_SIZE2_FT_0_CLASS646,mv_TID18016_START2_SIZE1_FT_0_CLASS646,mv_TID18020_START14_SIZE1_FT_0_1_CLASS646,mv_TID18011_START3_SIZE1_FT_0_1_CLASS646,mv_TID18019_START20_SIZE1_FT_0_CLASS646,mv_TID18018_START13_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18013_START8_SIZE1_FT_0_CLASS646,mv_TID18015_START1_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18018_START6_SIZE2_FT_0_1_CLASS646,mv_TID18024_START10_SIZE1_FT_0_CLASS646,mv_TID18019_START14_SIZE1_FT_0_1_3_4_5_CLASS646,mv_TID18013_START11_SIZE1_FT_0_CLASS646,tid,label
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2282,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2287,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2288,"84"
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2290,"84"
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2295,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2298,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2299,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2301,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4601,"164"
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4603,"164"
