mv_TID24980_START7_SIZE4_FT_0_CLASS901,mv_TID24972_START15_SIZE3_FT_0_CLASS901,mv_TID25008_START25_SIZE5_FT_0_CLASS901,mv_TID25002_START9_SIZE1_FT_0_CLASS901,mv_TID24984_START7_SIZE1_FT_0_CLASS901,mv_TID24983_START3_SIZE4_FT_0_CLASS901,mv_TID24983_START1_SIZE1_FT_0_CLASS901,mv_TID24977_START14_SIZE3_FT_0_CLASS901,mv_TID24981_START0_SIZE1_FT_0_1_CLASS901,mv_TID25008_START18_SIZE1_FT_0_1_CLASS901,mv_TID25008_START19_SIZE1_FT_0_1_CLASS901,mv_TID24979_START21_SIZE1_FT_0_CLASS901,mv_TID25001_START5_SIZE4_FT_0_CLASS901,mv_TID24983_START2_SIZE1_FT_0_1_CLASS901,mv_TID24983_START0_SIZE1_FT_0_CLASS901,mv_TID25005_START11_SIZE1_FT_0_CLASS901,mv_TID24977_START19_SIZE1_FT_0_1_CLASS901,mv_TID24984_START12_SIZE1_FT_0_1_CLASS901,mv_TID25008_START17_SIZE1_FT_0_1_CLASS901,mv_TID24972_START14_SIZE1_FT_0_1_CLASS901,mv_TID24984_START8_SIZE1_FT_0_CLASS901,mv_TID24979_START19_SIZE1_FT_0_CLASS901,mv_TID25002_START6_SIZE3_FT_0_CLASS901,mv_TID25001_START2_SIZE3_FT_0_CLASS901,mv_TID24984_START0_SIZE1_FT_0_1_CLASS901,mv_TID25008_START16_SIZE1_FT_0_1_CLASS901,mv_TID24981_START1_SIZE4_FT_0_CLASS901,mv_TID24980_START6_SIZE1_FT_0_CLASS901,mv_TID25005_START1_SIZE2_FT_0_CLASS901,mv_TID24979_START1_SIZE5_FT_0_CLASS901,mv_TID24984_START6_SIZE1_FT_0_1_CLASS901,mv_TID25008_START10_SIZE1_FT_0_5_CLASS901,mv_TID25005_START3_SIZE1_FT_0_CLASS901,mv_TID24977_START8_SIZE1_FT_0_5_CLASS901,mv_TID25008_START15_SIZE1_FT_0_1_CLASS901,mv_TID24977_START20_SIZE1_FT_0_1_CLASS901,mv_TID24979_START6_SIZE1_FT_0_CLASS901,mv_TID24984_START4_SIZE2_FT_0_CLASS901,mv_TID25008_START38_SIZE5_FT_0_CLASS901,mv_TID25001_START0_SIZE2_FT_0_CLASS901,mv_TID25008_START44_SIZE5_FT_0_CLASS901,mv_TID24981_START10_SIZE4_FT_0_CLASS901,mv_TID24977_START18_SIZE1_FT_0_CLASS901,mv_TID24972_START4_SIZE5_FT_0_CLASS901,mv_TID24980_START11_SIZE1_FT_0_CLASS901,mv_TID24983_START11_SIZE1_FT_0_1_CLASS901,mv_TID25008_START49_SIZE2_FT_0_CLASS901,mv_TID24977_START9_SIZE1_FT_0_CLASS901,mv_TID24977_START22_SIZE1_FT_0_1_CLASS901,mv_TID25008_START8_SIZE2_FT_0_CLASS901,mv_TID25001_START10_SIZE2_FT_0_CLASS901,mv_TID24972_START18_SIZE1_FT_0_CLASS901,mv_TID25008_START20_SIZE5_FT_0_CLASS901,mv_TID24980_START2_SIZE4_FT_0_CLASS901,mv_TID25005_START0_SIZE1_FT_0_CLASS901,mv_TID25008_START11_SIZE3_FT_0_CLASS901,mv_TID25008_START52_SIZE1_FT_0_1_7_CLASS901,mv_TID24977_START25_SIZE1_FT_0_1_CLASS901,mv_TID25005_START4_SIZE2_FT_0_CLASS901,mv_TID25005_START8_SIZE3_FT_0_CLASS901,mv_TID25008_START30_SIZE5_FT_0_CLASS901,mv_TID24977_START5_SIZE3_FT_0_CLASS901,mv_TID24980_START0_SIZE1_FT_0_CLASS901,mv_TID24972_START0_SIZE1_FT_0_CLASS901,mv_TID24984_START1_SIZE3_FT_0_CLASS901,mv_TID24980_START1_SIZE1_FT_0_CLASS901,mv_TID24979_START12_SIZE3_FT_0_CLASS901,mv_TID25008_START6_SIZE1_FT_0_CLASS901,mv_TID25002_START0_SIZE3_FT_0_CLASS901,mv_TID24977_START24_SIZE1_FT_0_CLASS901,mv_TID24977_START10_SIZE1_FT_0_1_CLASS901,mv_TID24977_START23_SIZE1_FT_0_CLASS901,mv_TID24983_START7_SIZE4_FT_0_CLASS901,mv_TID24972_START24_SIZE1_FT_0_CLASS901,mv_TID25005_START6_SIZE2_FT_0_CLASS901,mv_TID24979_START0_SIZE1_FT_0_CLASS901,mv_TID24977_START17_SIZE1_FT_0_1_CLASS901,mv_TID24977_START21_SIZE1_FT_0_1_CLASS901,mv_TID24981_START6_SIZE3_FT_0_CLASS901,mv_TID24972_START1_SIZE1_FT_0_CLASS901,mv_TID24977_START0_SIZE5_FT_0_CLASS901,mv_TID24979_START7_SIZE5_FT_0_CLASS901,mv_TID25005_START12_SIZE3_FT_0_CLASS901,mv_TID24977_START11_SIZE3_FT_0_CLASS901,mv_TID25008_START43_SIZE1_FT_0_CLASS901,mv_TID24981_START5_SIZE1_FT_0_1_CLASS901,mv_TID25008_START35_SIZE3_FT_0_CLASS901,mv_TID25008_START4_SIZE2_FT_0_CLASS901,mv_TID25008_START51_SIZE1_FT_0_1_7_CLASS901,mv_TID24984_START9_SIZE3_FT_0_CLASS901,mv_TID25008_START0_SIZE4_FT_0_CLASS901,mv_TID24972_START9_SIZE5_FT_0_CLASS901,mv_TID25002_START3_SIZE3_FT_0_CLASS901,mv_TID25001_START9_SIZE1_FT_0_1_CLASS901,mv_TID25002_START10_SIZE1_FT_0_1_CLASS901,mv_TID24979_START20_SIZE1_FT_0_1_CLASS901,mv_TID25008_START7_SIZE1_FT_0_1_CLASS901,mv_TID24981_START9_SIZE1_FT_0_1_CLASS901,mv_TID24972_START19_SIZE5_FT_0_CLASS901,mv_TID24979_START16_SIZE1_FT_0_CLASS901,mv_TID24972_START2_SIZE2_FT_0_CLASS901,mv_TID24972_START25_SIZE1_FT_0_1_CLASS901,tid,label
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2282,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2287,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2288,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2290,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2295,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2298,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2299,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2301,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4601,"164"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4603,"164"
